Position (m),GS Temperature (C)
1201,0.0002173
1202,0.0002159
1203,0.0002145
1204,0.0002131
1205,0.0002117
1206,0.0002103
1207,0.000209
1208,0.0002076
1209,0.0002063
1210,0.0002049
1211,0.0002036
1212,0.0002023
1213,0.000201
1214,0.0001997
1215,0.0001984
1216,0.0001971
1217,0.0001958
1218,0.0001945
1219,0.0001933
1220,0.000192
1221,0.0001908
1222,0.0001896
1223,0.0001883
1224,0.0001871
1225,0.0001859
1226,0.0001847
1227,0.0001835
1228,0.0001823
1229,0.0001811
1230,0.00018
1231,0.0001788
1232,0.0001776
1233,0.0001765
1234,0.0001753
1235,0.0001742
1236,0.0001731
1237,0.000172
1238,0.0001708
1239,0.0001697
1240,0.0001686
1241,0.0001675
1242,0.0001665
1243,0.0001654
1244,0.0001643
1245,0.0001633
1246,0.0001622
1247,0.0001611
1248,0.0001601
1249,0.0001591
1250,0.000158
1251,0.000157
1252,0.000156
1253,0.000155
1254,0.000154
1255,0.000153
1256,0.000152
1257,0.000151
1258,0.00015
1259,0.0001491
1260,0.0001481
1261,0.0001471
1262,0.0001462
1263,0.0001452
1264,0.0001443
1265,0.0001434
1266,0.0001424
1267,0.0001415
1268,0.0001406
1269,0.0001397
1270,0.0001388
1271,0.0001379
1272,0.000137
1273,0.0001361
1274,0.0001352
1275,0.0001343
1276,0.0001335
1277,0.0001326
1278,0.0001318
1279,0.0001309
1280,0.0001301
1281,0.0001292
1282,0.0001284
1283,0.0001275
1284,0.0001267
1285,0.0001259
1286,0.0001251
1287,0.0001243
1288,0.0001235
1289,0.0001227
1290,0.0001219
1291,0.0001211
1292,0.0001203
1293,0.0001195
1294,0.0001187
1295,0.000118
1296,0.0001172
1297,0.0001165
1298,0.0001157
1299,0.000115
1300,0.0001142
1301,0.0001135
1302,0.0001127
1303,0.000112
1304,0.0001113
1305,0.0001106
1306,0.0001098
1307,0.0001091
1308,0.0001084
1309,0.0001077
1310,0.000107
1311,0.0001063
1312,0.0001056
1313,0.000105
1314,0.0001043
1315,0.0001036
1316,0.0001029
1317,0.0001023
1318,0.0001016
1319,0.0001009
1320,0.0001003
1321,9.964e-05
1322,9.9e-05
1323,9.836e-05
1324,9.772e-05
1325,9.709e-05
1326,9.646e-05
1327,9.584e-05
1328,9.521e-05
1329,9.46e-05
1330,9.399e-05
1331,9.338e-05
1332,9.277e-05
1333,9.217e-05
1334,9.158e-05
1335,9.098e-05
1336,9.039e-05
1337,8.981e-05
1338,8.923e-05
1339,8.865e-05
1340,8.807e-05
1341,8.75e-05
1342,8.694e-05
1343,8.637e-05
1344,8.582e-05
1345,8.526e-05
1346,8.471e-05
1347,8.416e-05
1348,8.361e-05
1349,8.307e-05
1350,8.254e-05
1351,8.2e-05
1352,8.147e-05
1353,8.094e-05
1354,8.042e-05
1355,7.99e-05
1356,7.938e-05
1357,7.887e-05
1358,7.836e-05
1359,7.785e-05
1360,7.734e-05
1361,7.684e-05
1362,7.635e-05
1363,7.585e-05
1364,7.536e-05
1365,7.487e-05
1366,7.439e-05
1367,7.391e-05
1368,7.343e-05
1369,7.295e-05
1370,7.248e-05
1371,7.201e-05
1372,7.154e-05
1373,7.108e-05
1374,7.062e-05
1375,7.016e-05
1376,6.971e-05
1377,6.926e-05
1378,6.881e-05
1379,6.836e-05
1380,6.792e-05
1381,6.748e-05
1382,6.704e-05
1383,6.661e-05
1384,6.618e-05
1385,6.575e-05
1386,6.532e-05
1387,6.49e-05
1388,6.448e-05
1389,6.406e-05
1390,6.365e-05
1391,6.324e-05
1392,6.283e-05
1393,6.242e-05
1394,6.202e-05
1395,6.162e-05
1396,6.122e-05
1397,6.082e-05
1398,6.043e-05
1399,6.003e-05
1400,5.965e-05
1401,5.926e-05
1402,5.888e-05
1403,5.85e-05
1404,5.812e-05
1405,5.774e-05
1406,5.737e-05
1407,5.699e-05
1408,5.663e-05
1409,5.626e-05
1410,5.589e-05
1411,5.553e-05
1412,5.517e-05
1413,5.482e-05
1414,5.446e-05
1415,5.411e-05
1416,5.376e-05
1417,5.341e-05
1418,5.306e-05
1419,5.272e-05
1420,5.238e-05
1421,5.204e-05
1422,5.17e-05
1423,5.137e-05
1424,5.104e-05
1425,5.071e-05
1426,5.038e-05
1427,5.005e-05
1428,4.973e-05
1429,4.94e-05
1430,4.908e-05
1431,4.877e-05
1432,4.845e-05
1433,4.814e-05
1434,4.783e-05
1435,4.752e-05
1436,4.721e-05
1437,4.69e-05
1438,4.66e-05
1439,4.63e-05
1440,4.6e-05
1441,4.57e-05
1442,4.54e-05
1443,4.511e-05
1444,4.482e-05
1445,4.453e-05
